### Starting TaskPrologue of job 1224692 on tg096 at Fri Sep 19 10:06:48 AM CEST 2025
Running on cores 64-95 with governor ondemand
Fri Sep 19 10:06:48 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.65.06              Driver Version: 580.65.06      CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:81:00.0 Off |                    0 |
| N/A   34C    P0             55W /  400W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
### Finished TaskPrologue

Activating virtual environment at /home/hpc/iwi5/iwi5346h/LLM-SE_FAU/llm-env
Using Python: /home/hpc/iwi5/iwi5346h/LLM-SE_FAU/llm-env/bin/python
Using pip: /home/hpc/iwi5/iwi5346h/LLM-SE_FAU/llm-env/bin/pip
Starting training script with dataset: /home/hpc/iwi5/iwi5346h/LLM-SE_FAU/data/SysMLv2_data_v1.1.csv
🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2025.8.6: Fast Qwen2 patching. Transformers: 4.55.2.
   \\   /|    NVIDIA A100-SXM4-40GB. Num GPUs = 1. Max memory: 39.494 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.8.0+cu128. CUDA: 8.0. CUDA Toolkit: 12.8. Triton: 3.4.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.32.post2. FA2 = False]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Setting up trainer...
Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 1.7185, 'grad_norm': 0.18753166496753693, 'learning_rate': 9e-05, 'epoch': 0.18}
{'loss': 0.8415, 'grad_norm': 0.3884698450565338, 'learning_rate': 0.00016313167259786478, 'epoch': 4.91}
{'loss': 0.7952, 'grad_norm': 0.7063066363334656, 'learning_rate': 0.00016170818505338079, 'epoch': 5.09}
{'loss': 0.7613, 'grad_norm': 0.6188542246818542, 'learning_rate': 0.00016028469750889682, 'epoch': 5.26}
{'loss': 0.6915, 'grad_norm': 0.6312628984451294, 'learning_rate': 0.00015886120996441282, 'epoch': 5.44}
{'loss': 0.7852, 'grad_norm': 0.5459691882133484, 'learning_rate': 0.00015743772241992883, 'epoch': 5.61}
{'loss': 0.7814, 'grad_norm': 0.4840647280216217, 'learning_rate': 0.00015601423487544483, 'epoch': 5.79}
{'loss': 0.7739, 'grad_norm': 0.46934255957603455, 'learning_rate': 0.00015459074733096086, 'epoch': 5.96}
{'loss': 0.7148, 'grad_norm': 0.4909138083457947, 'learning_rate': 0.00015316725978647687, 'epoch': 6.14}
{'loss': 0.7089, 'grad_norm': 0.46768438816070557, 'learning_rate': 0.0001517437722419929, 'epoch': 6.32}
{'loss': 0.6515, 'grad_norm': 0.6044881343841553, 'learning_rate': 0.0001503202846975089, 'epoch': 6.49}
{'loss': 0.7329, 'grad_norm': 0.6182514429092407, 'learning_rate': 0.0001488967971530249, 'epoch': 6.67}
{'loss': 0.7137, 'grad_norm': 0.5887863039970398, 'learning_rate': 0.00014747330960854094, 'epoch': 6.84}
{'loss': 0.6562, 'grad_norm': 0.48998063802719116, 'learning_rate': 0.00014604982206405695, 'epoch': 7.02}
{'loss': 0.6407, 'grad_norm': 0.6701865196228027, 'learning_rate': 0.00014462633451957298, 'epoch': 7.19}
{'loss': 0.5867, 'grad_norm': 0.6128326654434204, 'learning_rate': 0.00014320284697508896, 'epoch': 7.37}
{'loss': 0.6427, 'grad_norm': 0.5557206273078918, 'learning_rate': 0.000141779359430605, 'epoch': 7.54}
{'loss': 0.6191, 'grad_norm': 0.8095256686210632, 'learning_rate': 0.000140355871886121, 'epoch': 7.72}
{'loss': 0.7289, 'grad_norm': 0.7345736026763916, 'learning_rate': 0.00013893238434163703, 'epoch': 7.89}
{'loss': 0.584, 'grad_norm': 0.3048699200153351, 'learning_rate': 0.00013750889679715303, 'epoch': 8.07}
{'loss': 0.6061, 'grad_norm': 0.7392942309379578, 'learning_rate': 0.00013608540925266903, 'epoch': 8.25}
{'loss': 0.612, 'grad_norm': 0.8649078607559204, 'learning_rate': 0.00013466192170818507, 'epoch': 8.42}
{'loss': 0.5776, 'grad_norm': 0.9331057071685791, 'learning_rate': 0.00013323843416370107, 'epoch': 8.6}
{'loss': 0.5709, 'grad_norm': 0.808929979801178, 'learning_rate': 0.0001318149466192171, 'epoch': 8.77}
{'loss': 0.6063, 'grad_norm': 0.43803635239601135, 'learning_rate': 0.0001303914590747331, 'epoch': 8.95}
{'loss': 0.5234, 'grad_norm': 0.8451563715934753, 'learning_rate': 0.0001289679715302491, 'epoch': 9.12}
{'loss': 0.5089, 'grad_norm': 0.7014184594154358, 'learning_rate': 0.00012754448398576512, 'epoch': 9.3}
{'loss': 0.5263, 'grad_norm': 0.7267228364944458, 'learning_rate': 0.00012612099644128115, 'epoch': 9.47}
{'loss': 0.526, 'grad_norm': 0.922095537185669, 'learning_rate': 0.00012469750889679715, 'epoch': 9.65}
{'loss': 0.5642, 'grad_norm': 0.858721137046814, 'learning_rate': 0.00012327402135231316, 'epoch': 9.82}
{'loss': 0.5572, 'grad_norm': 0.907437801361084, 'learning_rate': 0.00012185053380782918, 'epoch': 10.0}
{'loss': 0.4596, 'grad_norm': 0.5404459834098816, 'learning_rate': 0.0001204270462633452, 'epoch': 10.18}
{'loss': 0.4596, 'grad_norm': 1.1161167621612549, 'learning_rate': 0.00011900355871886121, 'epoch': 10.35}
{'loss': 0.4573, 'grad_norm': 1.0155905485153198, 'learning_rate': 0.00011758007117437723, 'epoch': 10.53}
{'loss': 0.4976, 'grad_norm': 0.8424810767173767, 'learning_rate': 0.00011615658362989324, 'epoch': 10.7}
{'loss': 0.5124, 'grad_norm': 0.9832517504692078, 'learning_rate': 0.00011473309608540926, 'epoch': 10.88}
{'loss': 0.5012, 'grad_norm': 1.1160058975219727, 'learning_rate': 0.00011330960854092527, 'epoch': 11.05}
{'loss': 0.4086, 'grad_norm': 1.128506064414978, 'learning_rate': 0.00011188612099644129, 'epoch': 11.23}
{'loss': 0.4426, 'grad_norm': 0.7032158970832825, 'learning_rate': 0.00011046263345195731, 'epoch': 11.4}
{'loss': 0.4265, 'grad_norm': 0.4793810248374939, 'learning_rate': 0.0001090391459074733, 'epoch': 11.58}
{'loss': 0.4247, 'grad_norm': 0.9471800923347473, 'learning_rate': 0.00010761565836298932, 'epoch': 11.75}
{'loss': 0.4527, 'grad_norm': 0.7188311815261841, 'learning_rate': 0.00010619217081850534, 'epoch': 11.93}
{'loss': 0.4282, 'grad_norm': 0.9465456604957581, 'learning_rate': 0.00010476868327402136, 'epoch': 12.11}
{'loss': 0.3803, 'grad_norm': 0.6645284295082092, 'learning_rate': 0.00010334519572953738, 'epoch': 12.28}
{'loss': 0.4021, 'grad_norm': 1.0210694074630737, 'learning_rate': 0.00010192170818505338, 'epoch': 12.46}
{'loss': 0.3811, 'grad_norm': 1.0131756067276, 'learning_rate': 0.0001004982206405694, 'epoch': 12.63}
{'loss': 0.3993, 'grad_norm': 1.2062709331512451, 'learning_rate': 9.907473309608542e-05, 'epoch': 12.81}
{'loss': 0.3819, 'grad_norm': 0.8287734389305115, 'learning_rate': 9.765124555160144e-05, 'epoch': 12.98}
{'loss': 0.336, 'grad_norm': 1.3688390254974365, 'learning_rate': 9.622775800711744e-05, 'epoch': 13.16}
{'loss': 0.3529, 'grad_norm': 0.7429691553115845, 'learning_rate': 9.480427046263346e-05, 'epoch': 13.33}
{'loss': 0.343, 'grad_norm': 0.9860130548477173, 'learning_rate': 9.338078291814946e-05, 'epoch': 13.51}
{'loss': 0.3424, 'grad_norm': 0.8660653829574585, 'learning_rate': 9.195729537366548e-05, 'epoch': 13.68}
{'loss': 0.3488, 'grad_norm': 0.579989492893219, 'learning_rate': 9.05338078291815e-05, 'epoch': 13.86}
{'loss': 0.3628, 'grad_norm': 0.46202391386032104, 'learning_rate': 8.911032028469752e-05, 'epoch': 14.04}
{'loss': 0.2945, 'grad_norm': 0.7935609817504883, 'learning_rate': 8.768683274021354e-05, 'epoch': 14.21}
{'loss': 0.3041, 'grad_norm': 1.3865655660629272, 'learning_rate': 8.626334519572954e-05, 'epoch': 14.39}
{'loss': 0.3155, 'grad_norm': 0.5950746536254883, 'learning_rate': 8.483985765124556e-05, 'epoch': 14.56}
{'loss': 0.3188, 'grad_norm': 1.1543594598770142, 'learning_rate': 8.341637010676157e-05, 'epoch': 14.74}
{'loss': 0.3297, 'grad_norm': 1.0872957706451416, 'learning_rate': 8.199288256227758e-05, 'epoch': 14.91}
{'loss': 0.2856, 'grad_norm': 0.731513500213623, 'learning_rate': 8.05693950177936e-05, 'epoch': 15.09}
{'loss': 0.2708, 'grad_norm': 0.5875640511512756, 'learning_rate': 7.91459074733096e-05, 'epoch': 15.26}
{'loss': 0.3094, 'grad_norm': 1.0528301000595093, 'learning_rate': 7.772241992882563e-05, 'epoch': 15.44}
{'loss': 0.2845, 'grad_norm': 0.8139844536781311, 'learning_rate': 7.629893238434164e-05, 'epoch': 15.61}
{'loss': 0.2799, 'grad_norm': 0.9610287547111511, 'learning_rate': 7.487544483985766e-05, 'epoch': 15.79}
{'loss': 0.279, 'grad_norm': 1.524906039237976, 'learning_rate': 7.345195729537368e-05, 'epoch': 15.96}
{'loss': 0.2446, 'grad_norm': 1.1964666843414307, 'learning_rate': 7.202846975088968e-05, 'epoch': 16.14}
{'loss': 0.25, 'grad_norm': 1.0664557218551636, 'learning_rate': 7.06049822064057e-05, 'epoch': 16.32}
{'loss': 0.2156, 'grad_norm': 1.0638500452041626, 'learning_rate': 6.918149466192171e-05, 'epoch': 16.49}
{'loss': 0.2671, 'grad_norm': 1.2640841007232666, 'learning_rate': 6.775800711743773e-05, 'epoch': 16.67}
{'loss': 0.268, 'grad_norm': 0.9845095276832581, 'learning_rate': 6.633451957295373e-05, 'epoch': 16.84}
{'loss': 0.2475, 'grad_norm': 0.5329144597053528, 'learning_rate': 6.491103202846975e-05, 'epoch': 17.02}
{'loss': 0.2028, 'grad_norm': 0.7840240001678467, 'learning_rate': 6.348754448398577e-05, 'epoch': 17.19}
{'loss': 0.2169, 'grad_norm': 1.431506872177124, 'learning_rate': 6.206405693950179e-05, 'epoch': 17.37}
{'loss': 0.2344, 'grad_norm': 1.3697962760925293, 'learning_rate': 6.06405693950178e-05, 'epoch': 17.54}
{'loss': 0.2268, 'grad_norm': 0.6291804909706116, 'learning_rate': 5.921708185053381e-05, 'epoch': 17.72}
{'loss': 0.2295, 'grad_norm': 1.2792863845825195, 'learning_rate': 5.779359430604983e-05, 'epoch': 17.89}
{'loss': 0.2372, 'grad_norm': 1.0569491386413574, 'learning_rate': 5.6370106761565846e-05, 'epoch': 18.07}
{'loss': 0.1904, 'grad_norm': 1.0990241765975952, 'learning_rate': 5.494661921708185e-05, 'epoch': 18.25}
{'loss': 0.195, 'grad_norm': 0.7170688509941101, 'learning_rate': 5.352313167259787e-05, 'epoch': 18.42}
{'loss': 0.2179, 'grad_norm': 1.2760199308395386, 'learning_rate': 5.209964412811388e-05, 'epoch': 18.6}
{'loss': 0.1915, 'grad_norm': 0.8827270865440369, 'learning_rate': 5.06761565836299e-05, 'epoch': 18.77}
{'loss': 0.2018, 'grad_norm': 0.8815231919288635, 'learning_rate': 4.925266903914591e-05, 'epoch': 18.95}
{'loss': 0.2094, 'grad_norm': 1.2034541368484497, 'learning_rate': 4.782918149466192e-05, 'epoch': 19.12}
{'loss': 0.1571, 'grad_norm': 0.9313144683837891, 'learning_rate': 4.6405693950177934e-05, 'epoch': 19.3}
{'loss': 0.1799, 'grad_norm': 1.2989975214004517, 'learning_rate': 4.498220640569395e-05, 'epoch': 19.47}
{'loss': 0.1756, 'grad_norm': 0.5663824677467346, 'learning_rate': 4.355871886120997e-05, 'epoch': 19.65}
{'loss': 0.2026, 'grad_norm': 0.9628970623016357, 'learning_rate': 4.213523131672598e-05, 'epoch': 19.82}
{'loss': 0.1898, 'grad_norm': 1.1490051746368408, 'learning_rate': 4.0711743772241994e-05, 'epoch': 20.0}
{'loss': 0.1491, 'grad_norm': 1.1344988346099854, 'learning_rate': 3.9288256227758006e-05, 'epoch': 20.18}
{'loss': 0.1825, 'grad_norm': 0.818152666091919, 'learning_rate': 3.7864768683274024e-05, 'epoch': 20.35}
{'loss': 0.17, 'grad_norm': 1.0344816446304321, 'learning_rate': 3.644128113879004e-05, 'epoch': 20.53}
{'loss': 0.1694, 'grad_norm': 0.7434235215187073, 'learning_rate': 3.5017793594306054e-05, 'epoch': 20.7}
{'loss': 0.1461, 'grad_norm': 0.9722395539283752, 'learning_rate': 3.3594306049822066e-05, 'epoch': 20.88}
{'loss': 0.1645, 'grad_norm': 1.011995553970337, 'learning_rate': 3.217081850533808e-05, 'epoch': 21.05}
{'loss': 0.1482, 'grad_norm': 0.9531299471855164, 'learning_rate': 3.0747330960854096e-05, 'epoch': 21.23}
{'loss': 0.1529, 'grad_norm': 0.8877193927764893, 'learning_rate': 2.9323843416370107e-05, 'epoch': 21.4}
{'loss': 0.1546, 'grad_norm': 1.0740256309509277, 'learning_rate': 2.7900355871886125e-05, 'epoch': 21.58}
{'loss': 0.1531, 'grad_norm': 0.9210905432701111, 'learning_rate': 2.6476868327402137e-05, 'epoch': 21.75}
{'loss': 0.1607, 'grad_norm': 1.1006338596343994, 'learning_rate': 2.5053380782918152e-05, 'epoch': 21.93}
{'loss': 0.1442, 'grad_norm': 0.8869746327400208, 'learning_rate': 2.3629893238434164e-05, 'epoch': 22.11}
{'loss': 0.1173, 'grad_norm': 0.9010083079338074, 'learning_rate': 2.220640569395018e-05, 'epoch': 22.28}
{'loss': 0.1458, 'grad_norm': 0.8329375982284546, 'learning_rate': 2.0782918149466194e-05, 'epoch': 22.46}
{'loss': 0.1464, 'grad_norm': 0.9181419014930725, 'learning_rate': 1.9359430604982205e-05, 'epoch': 22.63}
{'loss': 0.1498, 'grad_norm': 0.778152346611023, 'learning_rate': 1.7935943060498224e-05, 'epoch': 22.81}
{'loss': 0.1525, 'grad_norm': 1.1959463357925415, 'learning_rate': 1.6512455516014235e-05, 'epoch': 22.98}
{'loss': 0.1427, 'grad_norm': 0.8332370519638062, 'learning_rate': 1.5088967971530248e-05, 'epoch': 23.16}
{'loss': 0.121, 'grad_norm': 0.8095982670783997, 'learning_rate': 1.3665480427046265e-05, 'epoch': 23.33}
{'loss': 0.1672, 'grad_norm': 1.0038214921951294, 'learning_rate': 1.2241992882562278e-05, 'epoch': 23.51}
{'loss': 0.1297, 'grad_norm': 0.9443619251251221, 'learning_rate': 1.0818505338078293e-05, 'epoch': 23.68}
{'loss': 0.1154, 'grad_norm': 0.6116815209388733, 'learning_rate': 9.395017793594307e-06, 'epoch': 23.86}
{'loss': 0.1096, 'grad_norm': 0.7163119912147522, 'learning_rate': 7.97153024911032e-06, 'epoch': 24.04}
{'loss': 0.1431, 'grad_norm': 0.9483163356781006, 'learning_rate': 6.548042704626335e-06, 'epoch': 24.21}
{'loss': 0.1159, 'grad_norm': 0.8092002868652344, 'learning_rate': 5.124555160142349e-06, 'epoch': 24.39}
{'loss': 0.1256, 'grad_norm': 1.0519373416900635, 'learning_rate': 3.701067615658363e-06, 'epoch': 24.56}
{'loss': 0.144, 'grad_norm': 0.7762038707733154, 'learning_rate': 2.2775800711743777e-06, 'epoch': 24.74}
{'loss': 0.1207, 'grad_norm': 1.0757861137390137, 'learning_rate': 8.540925266903916e-07, 'epoch': 24.91}
{'train_runtime': 9677.0834, 'train_samples_per_second': 2.353, 'train_steps_per_second': 0.147, 'train_loss': 0.4845862345946462, 'epoch': 25.0}
==((====))==  Unsloth 2025.8.6: Fast Qwen2 patching. Transformers: 4.55.2.
   \\   /|    NVIDIA A100-SXM4-40GB. Num GPUs = 1. Max memory: 39.494 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.8.0+cu128. CUDA: 8.0. CUDA Toolkit: 12.8. Triton: 3.4.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.32.post2. FA2 = False]
 "-____-"     Free license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Unsloth: Merging 4bit and LoRA weights to 16bit...
Unsloth: Will use up to 388.85 out of 503.7 RAM for saving.
Unsloth: Saving model... This might take 5 minutes ...
Unsloth: Saving tokenizer... Done.
Done.
==((====))==  Unsloth: Conversion from QLoRA to GGUF information
   \\   /|    [0] Installing llama.cpp might take 3 minutes.
O^O/ \_/ \    [1] Converting HF to GGUF 16bits might take 3 minutes.
\        /    [2] Converting GGUF 16bits to ['q4_k_m'] might take 10 minutes each.
 "-____-"     In total, you will have to wait at least 16 minutes.

Unsloth: Installing llama.cpp. This might take 3 minutes...
Unsloth: [1] Converting model at ./SysML-V2-Qwen2.5-Coder-7B-Instruct into bf16 GGUF format.
The output location will be /home/hpc/iwi5/iwi5346h/LLM-SE_FAU/SysML-V2-Qwen2.5-Coder-7B-Instruct/unsloth.BF16.gguf
This might take 3 minutes...
INFO:hf-to-gguf:Loading model: SysML-V2-Qwen2.5-Coder-7B-Instruct
INFO:hf-to-gguf:Model architecture: Qwen2ForCausalLM
INFO:gguf.gguf_writer:gguf: This GGUF file is for Little Endian only
INFO:hf-to-gguf:Exporting model...
INFO:hf-to-gguf:gguf: loading model weight map from 'model.safetensors.index.json'
INFO:hf-to-gguf:gguf: loading model part 'model-00001-of-00004.safetensors'
INFO:hf-to-gguf:token_embd.weight,         torch.bfloat16 --> BF16, shape = {3584, 152064}
INFO:hf-to-gguf:blk.0.attn_norm.weight,    torch.bfloat16 --> F32, shape = {3584}
INFO:hf-to-gguf:blk.0.ffn_down.weight,     torch.bfloat16 --> BF16, shape = {18944, 3584}
INFO:hf-to-gguf:blk.0.ffn_gate.weight,     torch.bfloat16 --> BF16, shape = {3584, 18944}
INFO:hf-to-gguf:blk.0.ffn_up.weight,       torch.bfloat16 --> BF16, shape = {3584, 18944}
INFO:hf-to-gguf:blk.0.ffn_norm.weight,     torch.bfloat16 --> F32, shape = {3584}
INFO:hf-to-gguf:blk.0.attn_k.bias,         torch.bfloat16 --> F32, shape = {512}
INFO:hf-to-gguf:blk.0.attn_k.weight,       torch.float32 --> BF16, shape = {3584, 512}
INFO:hf-to-gguf:blk.0.attn_output.weight,  torch.float32 --> BF16, shape = {3584, 3584}
INFO:hf-to-gguf:blk.0.attn_q.bias,         torch.bfloat16 --> F32, shape = {3584}
INFO:hf-to-gguf:blk.0.attn_q.weight,       torch.float32 --> BF16, shape = {3584, 3584}
INFO:hf-to-gguf:blk.0.attn_v.bias,         torch.bfloat16 --> F32, shape = {512}
INFO:hf-to-gguf:blk.0.attn_v.weight,       torch.float32 --> BF16, shape = {3584, 512}
INFO:hf-to-gguf:blk.1.attn_norm.weight,    torch.bfloat16 --> F32, shape = {3584}
INFO:hf-to-gguf:blk.1.ffn_down.weight,     torch.bfloat16 --> BF16, shape = {18944, 3584}
INFO:hf-to-gguf:blk.1.ffn_gate.weight,     torch.bfloat16 --> BF16, shape = {3584, 18944}
INFO:hf-to-gguf:blk.1.ffn_up.weight,       torch.bfloat16 --> BF16, shape = {3584, 18944}
INFO:hf-to-gguf:blk.1.ffn_norm.weight,     torch.bfloat16 --> F32, shape = {3584}
INFO:hf-to-gguf:blk.1.attn_k.bias,         torch.bfloat16 --> F32, shape = {512}
INFO:hf-to-gguf:blk.1.attn_k.weight,       torch.float32 --> BF16, shape = {3584, 512}
INFO:hf-to-gguf:blk.1.attn_output.weight,  torch.float32 --> BF16, shape = {3584, 3584}
INFO:hf-to-gguf:blk.1.attn_q.bias,         torch.bfloat16 --> F32, shape = {3584}
INFO:hf-to-gguf:blk.1.attn_q.weight,       torch.float32 --> BF16, shape = {3584, 3584}
INFO:hf-to-gguf:blk.1.attn_v.bias,         torch.bfloat16 --> F32, shape = {512}
INFO:hf-to-gguf:blk.1.attn_v.weight,       torch.float32 --> BF16, shape = {3584, 512}
INFO:hf-to-gguf:blk.2.attn_norm.weight,    torch.bfloat16 --> F32, shape = {3584}
INFO:hf-to-gguf:blk.2.ffn_down.weight,     torch.bfloat16 --> BF16, shape = {18944, 3584}
INFO:hf-to-gguf:blk.2.ffn_gate.weight,     torch.bfloat16 --> BF16, shape = {3584, 18944}
INFO:hf-to-gguf:blk.2.ffn_up.weight,       torch.bfloat16 --> BF16, shape = {3584, 18944}
INFO:hf-to-gguf:blk.2.ffn_norm.weight,     torch.bfloat16 --> F32, shape = {3584}
INFO:hf-to-gguf:blk.2.attn_k.bias,         torch.bfloat16 --> F32, shape = {512}
INFO:hf-to-gguf:blk.2.attn_k.weight,       torch.float32 --> BF16, shape = {3584, 512}
INFO:hf-to-gguf:blk.2.attn_output.weight,  torch.float32 --> BF16, shape = {3584, 3584}
INFO:hf-to-gguf:blk.2.attn_q.bias,         torch.bfloat16 --> F32, shape = {3584}
INFO:hf-to-gguf:blk.2.attn_q.weight,       torch.float32 --> BF16, shape = {3584, 3584}
INFO:hf-to-gguf:blk.2.attn_v.bias,         torch.bfloat16 --> F32, shape = {512}
INFO:hf-to-gguf:blk.2.attn_v.weight,       torch.float32 --> BF16, shape = {3584, 512}
INFO:hf-to-gguf:blk.3.attn_norm.weight,    torch.bfloat16 --> F32, shape = {3584}
INFO:hf-to-gguf:blk.3.ffn_down.weight,     torch.bfloat16 --> BF16, shape = {18944, 3584}
INFO:hf-to-gguf:blk.3.ffn_gate.weight,     torch.bfloat16 --> BF16, shape = {3584, 18944}
INFO:hf-to-gguf:blk.3.ffn_up.weight,       torch.bfloat16 --> BF16, shape = {3584, 18944}
INFO:hf-to-gguf:blk.3.ffn_norm.weight,     torch.bfloat16 --> F32, shape = {3584}
